Year,S. No,Project Registration No.,Name & Address of Promoter,Project Details & Address,Approval Details,Project Completion Date,Other Details Links,Current Status of Project
2024,11,TN/16/Building/0311/2024 dated 15-03-2024,"V.Kailasam  2.M/s. Rangga Builders, Plot No.9, Warners Road, Cantonment, Tiruchirappalli, Taluk.Tiruchirappalli, Tiruchirappalli, Tamil Nadu-620001.","Block 1 - Stilt Floor + 5 Floors residential building with 43 dwelling units 
Block - 2 Stilt Floor + 4 Floors residential building with 4 dwelling units 
and by totaling 47 dwelling units at regularised layout Plot Nos. 1 to 8 , Comprised in T.S.No. 2535/1 , Block No. 52 , Ward - C of Thimmaraya Samuthiram Village , Zone - 1 (Srirangam Zone) in Tiruchirappalli City Corporation , Srirangam Taluk , Tiruchirappalli District.","The  Joint Director , DTCP , Tiruchirappalli  District has issued the planning permission vide letter No. SWP/BPA/044324/2023 dated  06.11.2023. The Assistant Commissioner , Tiruchirappalli  City Municipal Corporation has issued the building  permission vide letter No. AC:086/BL/2024/00133 dated  24.01.2024.",23.01.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/feb381a0-e040-11ee-a558-db5b3679e8a3, https://rera.tn.gov.in/public-view2/building/pfirm/feedec60-e100-11ee-a0c4-0522938607ff",
2024,12,TN/29/Building/0312/2024 dated 18-03-2024,"M/s. Brivas Private Limited, 200 Feet Radial Road, Near Lake,, Chromepet,, Chennai, Tamil Nadu-600044.","Registration of Basement floor + Stilt Floor + 4 Floors Commercial  Building (office) at Door. No. 158/21, 200 feet Road  MMRD ROAD Zamin Pallavaram, Chennai Comprised in Old S.No. 255/1B & 255/2, New T.S. No. 34/2 & 34/3 ,Ward No. D, Block No.49 of Zamin Pallavaram Village, Pallavaram Municipality, Chengalpattu District.","The Member Secretary, CMDA issued Planning Permission No. B/Spl.Bldg/46/2019 in Lr. No. B1/20135/2018, Dated 15/03/2019. The Commissioner, Pallavaram Municipality issued Building permit No. BL/90/19/F1 in Lr BA No:PPA/130/19/F1 dt 05.04.2019",Completed,"https://rera.tn.gov.in/public-view1/building/pfirm/fbd567b0-d7e2-11ee-aabf-7d75aa7bf508, https://rera.tn.gov.in/public-view2/building/pfirm/7c95a540-d7e9-11ee-a004-f14f3593a1aa",
2024,13,TN/29/Building/0313/2024 dated 18-03-2024,"M/s.Avittam Homes, Door No.G 1, Avittam Nammalwar,LIC Colony 1st cross street, Thiruneermalai main Road Village , Pammal, Chennai, Tamil Nadu-600075.","Project Name: ADIYOGI Registration of residential building consisting of  Stilt Floor +  4 floors + 5th floor (part) with 14 Dwelling units  at Plot No.20 & 21, Door No.19/2 ,  Canal Road, Kamaraj Nagar West, Thiruvanmiyur comprised in T.S.No.89/2 ,Block No.11 of Thiruvanmiyur Village, Within the limit of Greater Chennai Corporation ,Chennai District.",CMDA issued planning permission in P.P.No.OL-PP/NHRB/0489/2023 vide Letter No. CMDA/PP/NHRB/S/0698/2023 Dated 13/12/2023. Greater Chennai Corporation issued building permission in vide Building Plan  No. CEBA/WDCN13/00022/2024 Dated 29/01/2024.,14.02.2027,"https://rera.tn.gov.in/public-view1/building/pfirm/cb97b760-d340-11ee-82f8-1d0cdeab6e12, https://rera.tn.gov.in/public-view2/building/pfirm/68ef0f20-d345-11ee-8c1b-936653a80dbd",
2024,14,TN/29/Building/0314/2024 dated 19-03-2024,"Beaver Construction Company, Door No.6A, Beaver's Narayani, GF, 3rd Main Road, Postal Colony Village , West Mambalam, Chennai, Tamil Nadu-600033.","Stilt Floor + 5 Floors residential building with 20 Dwelling Units at Plot No.R-99, Block No.3, Ganga Nagar, 2nd Main Road, comprised in Old.S.No.173/1Dpt, New S.No.173/1D2 & 173/5 of Maduravoyal Village, within the limits of Greater Chennai Corporation, Chennai District.","CMDA issued planning permission No. OL-PP/NHRB/0434/2023 in Letter CMDA/PP/NHRB/C/0451/2023 Dated 07-11-2023. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN11/00467/2023, Dated 27/12/2023.",30.06.2025,"https://rera.tn.gov.in/public-view1/building/pfirm/bd40ee30-d37f-11ee-b297-33930779c3d2, https://rera.tn.gov.in/public-view2/building/pfirm/86ce8f00-d3e6-11ee-9968-e5d543615dcc",
2024,15,TN/29/Building/0315/2024 dated 19-03-2024,"GRAND MARVEL RESIDENTIAL, Door No.141/1, Eswaran Koil Street, Madipakkam Village , Madipakkam, Chennai, Tamil Nadu-600009.","Project Name: ADORE Registration of Residential Building project comprising Stilt Floor + 5 Floors (Height - 18.0m) with 15 dwelling units availing Premium FSI at  Plot No.5, 6 & 7 Madurakali Nagar, Karthikeyapuram 2nd Cross Street and Deivanai Nagar 4th Street, Madipakkam, Chennai - 600 091 comprised in S.No.168/20, 168/22 & 168/25 of Madipakkam Village within the limits of Greater Chennai Corporation, Chennai District.","The Member Secretary, CMDA issued Planning Permission vide PP.No.OL-PP/NHRB/0463/2023 in Letter No. CMDA/PP/NHRB/S/0684/2023, dated 25/11/2023. The Executive Engineer (T.P), Town Planning Section - Works, Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN14/00482/2023, dated 27/12/2023.",12.12.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/55e76e70-cbd2-11ee-90be-59cadae9f09a, https://rera.tn.gov.in/public-view2/building/pfirm/8ff977c0-cbf2-11ee-96d2-f1bc8cbcdd58",
2024,16,TN/29/Building/0316/2024 dated 19-03-2024,"M/s.Yes Gee Constructions, Plot No.192, Flat No: D-D1, Yes Gee Garden, Thiru-Vi-Ka Street, Kumaran Nagar Village , Tiruvallur, Tiruvallur, Tamil Nadu-600050.","Project Name: YES GEE VEDHA Registration of  builder share of Flat Nos: F2, F3, S1, S2, T2 & T3 (Total 6 Flats) at residential project at Stilt Floor (Parking) + 3 Floors residential building with 12 dwelling units (Height - 12.00m) available premium FSI at old Door No: 8 & 5, New Door No: 15 & 9, 4th Street Mandapam Road, Kilpauk, Chennai comprised in RS No: 55/76 & 55/97, Block No: 03 of Egmore Village, Chennai District.",CMDA issued Planning Permission No: OL-PP/NHRB/0530/2023 in Lr No: CMDA/PP/NHRB/N/0524/2023 dated 28.12.2023. Greater Chennai Corporation issued Building Permission No: CEBA/WDCN08/0027/2024 dated 18.01.2024.,30.09.2025,"https://rera.tn.gov.in/public-view1/building/pfirm/4d31f090-d55a-11ee-8da8-bda6acf225ee, https://rera.tn.gov.in/public-view2/building/pfirm/dbff7ec0-d55d-11ee-b3d6-e921d57f6e41",
2024,17,TN/35/Building/0317/2024 dated 20-03-2024,"i) M/s. BRIGADE ENTERPRISES LTD, ii) M/s.Agni Estates and Foundations Pvt Ltd, iii) Tmt.Rohini, Door No.26/1, Plot No.26/1, 29 & 30th Floor, World Trade Centre, Brigade Gateway Campus, Dr. Rajkumar Road, Mlleswaram- Rajajinagar Village , Bangalore, Bangalore Urban, Karnataka-560055.","Project Name: BRIGADE TECH BOULEVARD Registration of High Rise Group Development with consisting of Extended combined double Basement floor comprising with 2 Blocks: Block 1: Ground floor (Retail shop, cafeteria) + 12 floors, Block 2: Ground floor (Retail shop, cafeteria) + 12 floors and Block 3 (MLCP): Basement + 6 level + Terrace level (Two wheeler parking) with IT/ITES Building at Pallavaram – Thoraipakkam 200 feet Radial Road (MMRD Road), Pallavaram Chennai-600043 comprised in Old S.No.109/1A1, 1A2, 1A3, 1B, 2A1, 2B, 3, 3A2, 3A3, 114/5C, 115/2C, 116/3, 116/4B, 116/4B2, 116/5, 116/8A, 116/8B, 116/11, 116/12A, 116/12B, T.S. Nos. 5/1, 6/1, 9/1, 9/2, 10, 11/1, 11/2, 13, 15, 17, 18, 19, 20, 21/1, 21/2, 21/3, 21/4, 21/5, 21/6, 21/7, 21/8, 21/9, 21/10, 21/11, 21/12, 21/13, 21/14, 21/15, 22, 23, 35/1, 35/2, 36, Block No.26, Ward No.C of Zamin Pallavaram Village, Pallavaram Taluk,  within the limits of Tambaram Corporation, Chengalpattu District.","The Member Secretary, CMDA issued planning permission No.PP/HRB/29/2023/A to Q in Lr.No.CMDA/PP/HRB/S/0275/2023 Dated 27/10/2023. The Commissioner, Tambaram Corporation issued Building License No: 009/BL/2024/02/021/00303, in Lr No: 009/BPA/2024/00112 Dated 22/02/2024.",29.12.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/90dbc740-dfc2-11ee-9334-9515b0b47047, https://rera.tn.gov.in/public-view2/building/pfirm/c3724860-dfc6-11ee-b028-8b0615382a2d",
2024,18,TN/29/Building/0318/2024 dated 21-03-2024,"M/s.MEGH PROMOTERS PRIVATE LIMITED, Door No.New No.45,Old No.21, MEGH SYNERGY, Halls Road Village , Kilpauk, Chennai, Chennai, Tamil Nadu-600010.","Project Name: Megh Aarika Registration of Stlit+4 Floors Residential Building with 17 Dwelling units at Plot No.17,Chanakyan Main Road, Annamalai Avenue, Nolambur, Chennai  Comprised in  Old S.No.109/1pt,  109/2pt, New S.No.109/1A1 & 109/6 of  Nolambur Village within the limit of Greater Chennai Corporation Chennai District.","The Member Secreatary, CMDA issued planning permission in Permit No.OL-00443 ,P.P.No.OL-PP/NHRB/0303/2023 File No.CMDA/PP/NHRB/C/0219/2023  dated 08/08/2023 . Executive Engineer (T.P),Greater Chennai Corporation issued building permission in Building Plan No. CEBA/WDCN11/00315/2023  Dated 07/09/2023.",31.12.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/1e423470-db89-11ee-accb-3154dde46f07, https://rera.tn.gov.in/public-view2/building/pfirm/140b8460-db92-11ee-a73a-a34fdd403edb",
2024,19,TN/29/Building/0319/2024 dated 27-03-2024,"GOWTHAM CHAND M, Door No.2, Bishop Wallers Avenue Shop , Mylapore, Chennai, Taluk.Mylapore, Chennai, Tamil Nadu-600004.","Registration for Stilt floor + 5 Floors Commercial Building (shops) at old Door No. 60 New Door No.74 Cathedral Road, Mylapore, Chennai comprised in R.S.No. 1206/10, Block No: 25, Chennai , Mylapore Village, Mylapore Taluk,  within Greater Chennai Corporation Limits Chennai District.","The Member Secretary, CMDA, issued Planning permission No.B/NHRB/344/2019 in Letter No. PP/SB/S/0250/2019, Dated 01/11/2019. The Executive Engineer(T.P), Greater Chennai Corporation issued Building permission in Letter No. CEBA/WDCN09/00077/2020, Dated 26/02/2020.",31.03.2025,"https://rera.tn.gov.in/public-view1/building/pindividiual/4892e600-dead-11ee-9898-5d3c88e023c4, https://rera.tn.gov.in/public-view2/building/pindividiual/23be3310-deb0-11ee-bb88-71a47fca2271",
2024,20,TN/16/Building/0320/2024 dated 02-04-2024,"M/s.Morais City Pvt Ltd, Flat No.24 D, Mahalakshmi Nagar, Trichy, Taluk.KK Nagar (Post), Tiruchirappalli, Tamil Nadu-620021.","Project Name: MORAIS CITY MIB E BLOCK Registration of Basement Floor 1, 2 + Stilt Floor + 4 Floors - Commercial Building - Business Office Building in S.No.201/1E1B, 204/2B & 205/1A2, Plot No.C6, (Regularized Layout No.L.P(R)/NTDA No.1/2020) Morais city Extension- I, Keelakurichi Village & Panchayat, Thiruverumbur Taluk, Trichy District.","The Joint Director, DTCP, Tiruchirappalli District issued planning permission No.163/2023 in Letter ROC No.SWP/BPA/012023/2023, Dated 10/11/2023. The President, Keelakurichi Panchayat, Thiruverumbur Panchayat union issued building permission in Letter No.69/2023-2024, Dated 30/11/2023.",30.11.2029,"https://rera.tn.gov.in/public-view1/building/pfirm/0c4e6c20-dd16-11ee-bf2b-43d79aa3e41d, https://rera.tn.gov.in/public-view2/building/pfirm/b4c25a80-dd1d-11ee-b3f8-c3ff6ecea1f5",
2024,21,TN/29/Building/0321/2024 dated 02-04-2024,"M/s.Sree Foundation, Door No.No 11, Narsing Market, Ekambareswarar Agraharam St, Chennai – 600 003., Chennai, Taluk.sowcarpet, Chennai, Tamil Nadu-600003.","Project Name: INDRAPRASTH Registration of  Stilt Floor + 5 Floors Residential Building with 40  dwelling Units Availing Premium FSI with TOD Benifits at Old No.510, New Door No. 6 Mint Street and Old Door No.276, 277 New Door No. 3/1, North Wall Road, Chennai, comprised in  Old Survey No. 6072, 6073, 6075 New Survey No. 602, 599/20 (As per Document) R.S.No.602, 599/20 (as per Patta) ,Block No. 7, Ward -1, VOC Nagar Village,  Chennai District.","CMDA issued planning permission No. OL-PP/NHRB/0024/2024  in Letter No. CMDA/PP/NHRB/N/0494/2023, Dated 24/01/2024. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN05/00068/2024, Dated 13/02/2024.",16.02.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/c9a03e50-dd35-11ee-8ff5-7d5d8fc010e3, https://rera.tn.gov.in/public-view2/building/pfirm/a0065100-dd43-11ee-89b1-51752e36f38b",
2024,22,TN/29/Building/0322/2024 dated 02-04-2024,"M/s.TAGROS CHEMICALS INDIA PVT LTD, Door No.4, Tagros House, Club road, Anna Salai, Chennai, Chennai, Tamil Nadu-600002.","Project Name: #61 Stilt Floor + 4 Floors Shop Cum Office Use Commercial Building (1st Floor – Shop, 2nd to 4th Floor – Office) with 18.30 M Height and Availing Premium FSI at Old Door No: 45, New Door No: 61, C.P.Ramaswami Road and Abhiramapuram 4th Street, Abhiramapuram, Chennai comprised in RS No: 3666/12, Block No: 72 of Mylapore Village within the limit of Greater Chennai Corporation, Chennai District.",CMDA issued Planning Permission No: OL-PP/NHRB/0146/2023 in Lr No: CMDA/PP/NHRB/S/0672/2022 dated 19.04.2023.  Greater Chennai Corporation issued Building Permission No: CEBA/WDCN09/00194/2023 dated 09.05.2023.,10.04.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/4055b800-df88-11ee-9f46-abf5b30be5dc, https://rera.tn.gov.in/public-view2/building/pfirm/e7519180-df8a-11ee-81dc-a58d8db87afe",
2024,23,TN/29/Building/0323/2024 dated 03-04-2024,"1. M/s.Swathi Builders Rep by Managing Partner Thiru.K.S.Prabhakar, (GPA Holder) 2. T.Shyam Sunder, 3. K.Padmini, 4. Balaji Lakshmanan, 5.C.R.Seshan, 6.R.Sanjeevi, 7. Mohana N.Moorthy, 8. Arun Moorthy, 9. Savitha Moorthy, 10.Nithiya Kalyani, 11.Vidhya Shankar, 12.Ranjith Kumar, 13.Neena Dilip Kapasi, 14. Kalyani Krishnamoorthy, Door No.New No.5, Ananda Raod, Alwarpet, Alwarpet, Chennai, Tamil Nadu-600018.","Project Name: Abhirami Registration of Residential Building project comprised of Stilt Floor + 4 Floors (Height – 15.25m) with 12 dwelling units availing Premium FSI at Old No. 18, New No.26, Abhiramapuram 1st Street & 3rd Street, Abhiramapuram, Chennai comprised in Old S.No.1071, R.S.No.3636/11, Block No.72 of Mylapore Village within the limits of Greater Chennai Corporation, Chennai District.","The Member Secretary, CMDA issued Planning Permission in PP.No. OL-PP/NHRB/0031/2024 in Letter No. CMDA/PP/NHRB/S/0656/2023, dated 31.01.2024. The Executive Engineer (T.P), Town Planning Section – Works, Greater Chennai Corporation issued Building Permission vide Lr No: CEBA/WDCN09/00072/2024, dated 12.02.2024.",31.12.2025,"https://rera.tn.gov.in/public-view1/building/pfirm/380045d0-dd40-11ee-bc98-8da15fe2127b, https://rera.tn.gov.in/public-view2/building/pfirm/b2c379d0-df62-11ee-9631-3d41fb8d4e5b",
2024,24,TN/16/Building/0324/2024 dated 03-04-2024,"M/s.Jeyam Builders, Flat No.4, Door No.124, EVR Road,  Puthur, Puthur Village , TRICHY, Tiruchirappalli, Tamil Nadu-620017.","Project Name: Jeyam's Empire Registration of affordable residential apartment building of Stilt + 5 floors with 130 dwelling units at Ward No: AI, Block No. 26, T.S.No. 1/13, (Old T.S.No. 1, Old S.Nos. 18/2 part, 21/1A part, 21/2 part) of Pandian Salai, Sathanur Village, Tiruchirapalli Taluk & City Corporation, Tiruchirapalli District.","Planning Permission issued by the Joint Director, T&CP, Tiruchirapalli District vide letter no. SWP/BPA/077712/2023, dated: 31-01-2024. Building Permission issued by the Assistant Commissioner, Tiruchirapalli Corporation vide letter no.  086/BL/2024/00375 dated: 07-03-2024.",31.12.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/0a03b580-e066-11ee-b23d-a9de55667a94, https://rera.tn.gov.in/public-view2/building/pfirm/52d0ffd0-e06f-11ee-ac67-0b3f0a200972",
